cluster_id,peak_x,peak_y,peak_z,cluster_mean,volume_mm,aal,desikan_killiany,harvard_oxford
1.0,-45.0,-14.760000228881836,53.894999742507935,0.707296707063826,325.49438470602036,70.67% Postcentral_L; 24.63% Precentral_L,51.32% Unknown; 26.10% ctx-lh-postcentral; 13.20% Left-Cerebral-White-Matter; 9.38% ctx-lh-precentral,63.34% Left_Precentral_Gyrus; 36.66% Left_Postcentral_Gyrus
2.0,-59.0,-14.760000228881836,10.906999826431274,0.6946338895455147,98.31648570299149,63.11% Postcentral_L; 36.89% Temporal_Sup_L,86.41% Unknown; 7.77% ctx-lh-postcentral; 5.83% ctx-lh-supramarginal,92.23% Left_Central_Opercular_Cortex; 7.77% Left_Postcentral_Gyrus
3.0,54.0,-6.944000244140625,48.032999753952026,0.6982348163922628,5.727173924446106,100.00% Precentral_R,100.00% ctx-rh-precentral,100.00% Right_Precentral_Gyrus
4.0,-60.0,-22.576000213623047,46.078999757766724,0.6948686341444651,5.727173924446106,66.67% no_label; 33.33% Parietal_Inf_L,83.33% Unknown; 16.67% ctx-lh-supramarginal,100.00% Left_Postcentral_Gyrus
5.0,-63.0,1.8489997386932373,25.561999797821045,0.6923152685165406,4.772644937038422,80.00% Precentral_L; 20.00% no_label,80.00% Unknown; 20.00% ctx-lh-precentral,100.00% Left_Precentral_Gyrus
6.0,-63.0,-17.69100022315979,17.745999813079834,0.686607152223587,3.8181159496307373,100.00% Postcentral_L,75.00% Unknown; 25.00% ctx-lh-postcentral,100.00% Left_Postcentral_Gyrus
7.0,-59.0,-23.5530002117157,45.10199975967407,0.6925697922706604,2.863586962223053,100.00% Parietal_Inf_L,100.00% Unknown,100.00% Left_Postcentral_Gyrus
8.0,-60.0,-22.576000213623047,49.98699975013733,0.6901477972666422,2.863586962223053,100.00% no_label,100.00% Unknown,100.00% Left_Postcentral_Gyrus
9.0,-34.0,-27.461000204086304,70.50399971008301,0.6887930929660797,1.9090579748153687,100.00% Postcentral_L,100.00% Unknown,100.00% Left_Postcentral_Gyrus
10.0,-46.0,-25.507000207901,65.61899971961975,0.688977837562561,1.9090579748153687,50.00% Postcentral_L; 50.00% no_label,100.00% Unknown,100.00% Left_Postcentral_Gyrus
11.0,-48.0,-26.484000205993652,65.61899971961975,0.689100980758667,1.9090579748153687,50.00% Postcentral_L; 50.00% no_label,100.00% Unknown,100.00% Left_Postcentral_Gyrus
